"Denominator";"Numerator";"Rate";"FirstServiceEncounter";"LastServiceEncounter";"MissingMeasureReasonCode";"CountyOidExtension";"CountyName";"MeasurePeriodStart";"MeasurePeriodEnd"
90;83;0,922222222222222;2009-01-02;2009-01-31;;;;2009-01-01;2009-01-31
106;96;0,905660377358491;2009-02-02;2009-02-27;;;;2009-02-01;
95;86;0,905263157894737;2009-03-02;2009-03-31;;;;2009-03-01;2009-03-31
97;86;0,88659793814433;2009-04-01;2009-04-30;;;;2009-04-01;2009-04-30
90;82;0,911111111111111;2009-05-04;2009-05-29;;;;2009-05-01;2009-05-31
97;83;0,855670103092783;2009-06-01;2009-06-30;;;;2009-06-01;2009-06-30
132;109;0,825757575757576;2009-07-01;2009-07-31;;;;2009-07-01;2009-07-31
97;85;0,876288659793814;2009-08-02;2009-08-31;;;;2009-08-01;2009-08-31
114;103;0,903508771929825;2009-09-01;2009-09-30;;;;2009-09-01;2009-09-30
89;78;0,876404494382023;2009-10-01;2009-10-30;;;;2009-10-01;2009-10-31
114;101;0,885964912280702;2009-11-02;2009-11-30;;;;2009-11-01;
132;112;0,848484848484849;2009-12-01;2009-12-30;;;;2009-12-01;2009-12-31
72;64;0,888888888888889;2010-01-04;2010-01-28;;;;2010-01-01;2010-01-31
99;92;0,929292929292929;2010-02-01;2010-02-28;;;;2010-02-01;
116;105;0,905172413793103;2010-03-01;2010-03-31;;;;2010-03-01;2010-03-31
100;91;0,91;2010-04-01;2010-04-30;;;;2010-04-01;2010-04-30
107;96;0,897196261682243;2010-05-03;2010-05-31;;;;2010-05-01;2010-05-31
118;103;0,872881355932203;2010-06-01;2010-06-30;;;;2010-06-01;2010-06-30
116;109;0,939655172413793;2010-07-01;2010-07-30;;;;2010-07-01;2010-07-31
98;86;0,877551020408163;2010-08-02;2010-08-31;;;;2010-08-01;2010-08-31
92;85;0,923913043478261;2010-09-01;2010-09-30;;;;2010-09-01;2010-09-30
98;86;0,877551020408163;2010-10-01;2010-10-31;;;;2010-10-01;2010-10-31
114;101;0,885964912280702;2010-11-01;2010-11-30;;;;2010-11-01;
136;124;0,911764705882353;2010-12-01;2010-12-30;;;;2010-12-01;2010-12-31
87;87;1;2011-01-03;2011-01-31;;;;2011-01-01;2011-01-31
116;102;0,879310344827586;2011-02-01;2011-02-28;;;;2011-02-01;
113;106;0,938053097345133;2011-03-01;2011-03-31;;;;2011-03-01;2011-03-31
114;104;0,912280701754386;2011-04-01;2011-04-29;;;;2011-04-01;2011-04-30
114;105;0,921052631578947;2011-05-02;2011-05-31;;;;2011-05-01;2011-05-31
98;91;0,928571428571429;2011-06-01;2011-06-30;;;;2011-06-01;2011-06-30
105;100;0,952380952380952;2011-07-01;2011-07-29;;;;2011-07-01;2011-07-31
93;82;0,881720430107527;2011-08-01;2011-08-31;;;;2011-08-01;2011-08-31
117;97;0,829059829059829;2011-09-01;2011-09-30;;;;2011-09-01;2011-09-30
113;101;0,893805309734513;2011-10-03;2011-10-31;;;;2011-10-01;2011-10-31
117;105;0,897435897435897;2011-11-01;2011-11-30;;;;2011-11-01;
122;108;0,885245901639344;2011-12-01;2011-12-30;;;;2011-12-01;2011-12-31
121;108;0,892561983471074;2012-01-02;2012-01-31;;;;2012-01-01;2012-01-31
126;118;0,936507936507937;2012-02-01;2012-02-29;;;;2012-02-01;
135;124;0,918518518518519;2012-03-01;2012-03-30;;;;2012-03-01;2012-03-31
107;102;0,953271028037383;2012-04-02;2012-04-27;;;;2012-04-01;2012-04-30
119;107;0,899159663865546;2012-05-02;2012-05-31;;;;2012-05-01;2012-05-31
113;95;0,84070796460177;2012-06-01;2012-06-29;;;;2012-06-01;2012-06-30
118;108;0,915254237288136;2012-07-02;2012-07-31;;;;2012-07-01;2012-07-31
106;91;0,858490566037736;2012-08-01;2012-08-31;;;;2012-08-01;2012-08-31
102;92;0,901960784313726;2012-09-03;2012-09-28;;;;2012-09-01;2012-09-30
116;105;0,905172413793103;2012-10-01;2012-10-31;;;;2012-10-01;2012-10-31
122;111;0,909836065573771;2012-11-01;2012-11-30;;;;2012-11-01;
93;83;0,89247311827957;2012-12-03;2012-12-27;;;;2012-12-01;2012-12-31
104;96;0,923076923076923;2013-01-02;2013-01-31;;;;2013-01-01;2013-01-31
100;94;0,94;2013-02-01;2013-02-28;;;;2013-02-01;
117;112;0,957264957264957;2013-03-01;2013-03-28;;;;2013-03-01;2013-03-31
122;111;0,909836065573771;2013-04-02;2013-04-30;;;;2013-04-01;2013-04-30
102;95;0,931372549019608;2013-05-02;2013-05-31;;;;2013-05-01;2013-05-31
124;114;0,919354838709677;2013-06-03;2013-06-28;;;;2013-06-01;2013-06-30
136;128;0,941176470588235;2013-07-01;2013-07-31;;;;2013-07-01;2013-07-31
125;117;0,936;2013-08-01;2013-08-30;;;;2013-08-01;2013-08-31
110;102;0,927272727272727;2013-09-02;2013-09-30;;;;2013-09-01;2013-09-30
125;115;0,92;2013-10-01;2013-10-31;;;;2013-10-01;2013-10-31
121;107;0,884297520661157;2013-11-01;2013-11-29;;;;2013-11-01;
79;73;0,924050632911392;2013-12-02;2013-12-30;;;;2013-12-01;2013-12-31
121;105;0,867768595041322;2014-01-01;2014-01-31;;;;2014-01-01;2014-01-31
116;111;0,956896551724138;2014-02-03;2014-02-28;;;;2014-02-01;
111;104;0,936936936936937;2014-03-03;2014-03-31;;;;2014-03-01;2014-03-31
101;92;0,910891089108911;2014-04-01;2014-04-30;;;;2014-04-01;2014-04-30
118;105;0,889830508474576;2014-05-02;2014-05-28;;;;2014-05-01;2014-05-31
135;125;0,925925925925926;2014-06-02;2014-06-30;;;;2014-06-01;2014-06-30
151;136;0,900662251655629;2014-07-01;2014-07-31;;;;2014-07-01;2014-07-31
93;90;0,967741935483871;2014-08-01;2014-08-29;;;;2014-08-01;2014-08-31
107;105;0,981308411214953;2014-09-01;2014-09-30;;;;2014-09-01;2014-09-30
159;155;0,974842767295597;2014-10-01;2014-10-31;;;;2014-10-01;2014-10-31
108;97;0,898148148148148;2014-11-01;2014-11-28;;;;2014-11-01;
133;125;0,93984962406015;2014-12-01;2014-12-30;;;;2014-12-01;2014-12-31
19;19;1;2009-01-07;2009-01-26;;"01";"Stockholms län";2009-01-01;2009-01-31
;;;2009-01-27;2009-01-27;"MSK";"03";"Uppsala län";2009-01-01;2009-01-31
;;;2009-01-09;2009-01-30;"MSK";"04";"Sörmland";2009-01-01;2009-01-31
;;;2009-01-09;2009-01-30;"MSK";"05";"Östergötland";2009-01-01;2009-01-31
;;;2009-01-02;2009-01-22;"MSK";"06";"Jönköpings län";2009-01-01;2009-01-31
